iter	Passed	Remaining
0	174	349040
1	194	194258
2	210	140165
3	227	113311
4	246	98286
5	264	87767
6	280	79959
7	296	73834
8	313	69268
9	332	66156
10	347	62896
11	364	60377
12	380	58210
13	398	56495
14	414	54879
15	431	53543
16	448	52274
17	465	51243
18	482	50295
19	499	49488
20	517	48775
21	534	48021
22	552	47515
23	570	46955
24	588	46479
25	606	46016
26	622	45495
27	638	44959
28	654	44467
29	671	44084
30	686	43624
31	704	43323
32	720	42962
33	737	42639
34	755	42399
35	772	42120
36	787	41790
37	805	41567
38	823	41387
39	839	41150
40	858	41024
41	876	40881
42	895	40763
43	912	40574
44	929	40400
45	947	40262
46	965	40099
47	1006	40930
48	1026	40878
49	1044	40744
50	1060	40543
51	1076	40322
52	1092	40123
53	1106	39891
54	1121	39667
55	1138	39507
56	1153	39329
57	1170	39189
58	1186	39049
59	1203	38912
60	1219	38766
61	1236	38653
62	1254	38558
63	1271	38474
64	1288	38370
65	1305	38246
66	1322	38143
67	1337	38002
68	1351	37835
69	1367	37709
70	1383	37595
71	1399	37472
72	1414	37349
73	1430	37218
74	1444	37087
75	1460	36981
76	1479	36943
77	1495	36856
78	1511	36742
79	1526	36639
80	1542	36551
81	1558	36458
82	1574	36362
83	1592	36324
84	1607	36221
85	1623	36129
86	1639	36040
87	1654	35937
88	1669	35845
89	1684	35739
90	1698	35640
91	1712	35513
92	1727	35417
93	1741	35315
94	1756	35213
95	1770	35111
96	1787	35069
97	1801	34962
98	1817	34904
99	1831	34807
100	1846	34709
101	1860	34612
102	1875	34539
103	1891	34479
104	1906	34402
105	1921	34339
106	1938	34290
107	1955	34250
108	1973	34228
109	1989	34179
110	2004	34120
111	2020	34062
112	2036	34014
113	2052	33956
114	2068	33905
115	2084	33852
116	2099	33791
117	2114	33717
118	2130	33677
119	2146	33622
120	2161	33564
121	2179	33549
122	2195	33505
123	2211	33450
124	2226	33402
125	2242	33357
126	2257	33300
127	2272	33237
128	2289	33208
129	2305	33166
130	2320	33112
131	2337	33080
132	2354	33052
133	2372	33033
134	2388	32999
135	2403	32943
136	2419	32895
137	2433	32836
138	2448	32775
139	2462	32721
140	2478	32674
141	2493	32632
142	2508	32580
143	2524	32533
144	2540	32497
145	2555	32448
146	2570	32407
147	2588	32385
148	2604	32351
149	2619	32310
150	2635	32266
151	2651	32236
152	2673	32269
153	2688	32228
154	2704	32195
155	2721	32164
156	2738	32141
157	2754	32118
158	2770	32081
159	2787	32061
160	2803	32021
161	2818	31975
162	2833	31934
163	2848	31884
164	2862	31838
165	2880	31820
166	2893	31759
167	2908	31717
168	2922	31665
169	2937	31621
170	2964	31707
171	2986	31745
172	3003	31722
173	3019	31686
174	3034	31643
175	3049	31607
176	3066	31580
177	3081	31546
178	3095	31486
179	3109	31441
180	3125	31414
181	3140	31373
182	3161	31388
183	3177	31358
184	3190	31304
185	3205	31259
186	3220	31223
187	3235	31188
188	3250	31146
189	3266	31115
190	3281	31078
191	3295	31032
192	3309	30984
193	3324	30952
194	3338	30903
195	3352	30861
196	3368	30831
197	3383	30794
198	3398	30761
199	3413	30722
200	3429	30692
201	3445	30666
202	3462	30650
203	3477	30614
204	3493	30588
205	3512	30586
206	3529	30569
207	3545	30543
208	3561	30519
209	3578	30500
210	3594	30472
211	3609	30440
212	3624	30411
213	3639	30373
214	3655	30345
215	3670	30313
216	3689	30313
217	3703	30274
218	3719	30250
219	3735	30223
220	3751	30202
221	3768	30185
222	3785	30166
223	3801	30140
224	3815	30102
225	3831	30075
226	3845	30037
227	3860	30002
228	3875	29973
229	3890	29938
230	3906	29913
231	3921	29884
232	3935	29849
